,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,album,went,gold,go,album gold,250
1,album,went,gold,go,album gold,250
2,album,went,gold,go,album gold,250
3,album,went,gold,go,album gold,250
4,album,went,gold,go,album gold,250
5,album,went,gold,go,album gold,250
6,album,went,gold,go,album gold,250
7,album,went,gold,go,album gold,250
8,album,going,gold,go,album gold,250
9,album,went,gold,go,album gold,250
10,album,went,gold,go,album gold,250
11,album,went,gold,go,album gold,250
12,album,went,gold,go,album gold,250
13,album,went,gold,go,album gold,250
14,album,went,gold,go,album gold,250
15,album,went,gold,go,album gold,250
16,album,went,gold,go,album gold,250
17,album,went,gold,go,album gold,250
18,album,went,gold,go,album gold,250
19,album,went,gold,go,album gold,250
20,album,went,gold,go,album gold,250
21,album,went,gold,go,album gold,250
22,album,went,gold,go,album gold,250
23,album,went,gold,go,album gold,250
24,album,went,gold,go,album gold,250
25,album,went,gold,go,album gold,250
26,album,went,gold,go,album gold,250
27,album,went,gold,go,album gold,250
28,album,went,gold,go,album gold,250
29,album,went,gold,go,album gold,250
30,album,went,gold,go,album gold,250
31,album,went,gold,go,album gold,250
32,album,went,gold,go,album gold,250
33,album,went,gold,go,album gold,250
34,album,went,gold,go,album gold,250
35,album,went,gold,go,album gold,250
36,album,went,gold,go,album gold,250
37,album,went,gold,go,album gold,250
38,album,went,gold,go,album gold,250
39,album,went,gold,go,album gold,250
40,album,went,gold,go,album gold,250
41,album,went,gold,go,album gold,250
42,album,went,gold,go,album gold,250
43,album,went,gold,go,album gold,250
44,album,went,gold,go,album gold,250
45,album,went,gold,go,album gold,250
46,album,went,gold,go,album gold,250
47,album,went,gold,go,album gold,250
48,album,went,gold,go,album gold,250
49,album,went,gold,go,album gold,250
50,album,went,gold,go,album gold,250
51,album,went,gold,go,album gold,250
52,album,went,gold,go,album gold,250
53,album,going,gold,go,album gold,250
54,album,went,gold,go,album gold,250
55,album,went,gold,go,album gold,250
56,album,went,gold,go,album gold,250
57,album,went,gold,go,album gold,250
58,album,went,gold,go,album gold,250
59,album,went,gold,go,album gold,250
60,album,went,gold,go,album gold,250
61,album,went,gold,go,album gold,250
62,album,went,gold,go,album gold,250
63,album,went,gold,go,album gold,250
64,album,went,gold,go,album gold,250
65,album,goes,gold,go,album gold,250
66,album,went,gold,go,album gold,250
67,album,went,gold,go,album gold,250
68,album,went,gold,go,album gold,250
69,album,went,gold,go,album gold,250
70,album,went,gold,go,album gold,250
71,album,went,gold,go,album gold,250
72,album,went,gold,go,album gold,250
73,album,went,gold,go,album gold,250
74,album,went,gold,go,album gold,250
75,album,went,gold,go,album gold,250
76,album,went,gold,go,album gold,250
77,album,went,gold,go,album gold,250
78,album,went,gold,go,album gold,250
79,album,went,gold,go,album gold,250
80,album,went,gold,go,album gold,250
81,album,went,gold,go,album gold,250
82,album,went,gold,go,album gold,250
83,album,went,gold,go,album gold,250
84,album,went,gold,go,album gold,250
85,album,went,gold,go,album gold,250
86,album,went,gold,go,album gold,250
87,album,went,gold,go,album gold,250
88,album,went,gold,go,album gold,250
89,album,went,gold,go,album gold,250
90,album,went,gold,go,album gold,250
91,album,went,gold,go,album gold,250
92,album,went,gold,go,album gold,250
93,album,went,gold,go,album gold,250
94,album,went,gold,go,album gold,250
95,album,went,gold,go,album gold,250
96,album,went,gold,go,album gold,250
97,album,went,gold,go,album gold,250
98,album,went,gold,go,album gold,250
99,album,went,gold,go,album gold,250
100,album,went,gold,go,album gold,250
101,album,went,gold,go,album gold,250
102,album,went,gold,go,album gold,250
103,album,went,gold,go,album gold,250
104,album,went,gold,go,album gold,250
105,album,went,gold,go,album gold,250
106,album,went,gold,go,album gold,250
107,album,went,gold,go,album gold,250
108,album,went,gold,go,album gold,250
109,album,went,gold,go,album gold,250
110,album,went,gold,go,album gold,250
111,album,went,gold,go,album gold,250
112,album,went,gold,go,album gold,250
113,album,went,gold,go,album gold,250
114,album,went,gold,go,album gold,250
115,album,went,gold,go,album gold,250
116,album,went,gold,go,album gold,250
117,album,went,gold,go,album gold,250
118,album,went,gold,go,album gold,250
119,album,went,gold,go,album gold,250
120,album,went,gold,go,album gold,250
