,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,recipients,arranged,honour,arrange,recipients honour,199
1,recipients,arranged,honour,arrange,recipients honour,199
2,recipients,arranged,honour,arrange,recipients honour,199
3,recipients,arranged,honour,arrange,recipients honour,199
4,recipients,arranged,honour,arrange,recipients honour,199
5,recipients,arranged,honour,arrange,recipients honour,199
6,recipients,arranged,honour,arrange,recipients honour,199
7,recipients,arranged,honour,arrange,recipients honour,199
8,recipients,arranged,honour,arrange,recipients honour,199
9,recipients,arranged,honour,arrange,recipients honour,199
10,recipients,arranged,honour,arrange,recipients honour,199
11,recipients,arranged,honour,arrange,recipients honour,199
12,recipients,arranged,honour,arrange,recipients honour,199
13,recipients,arranged,honour,arrange,recipients honour,199
14,recipients,arranged,honour,arrange,recipients honour,199
15,recipients,arranged,honour,arrange,recipients honour,199
16,recipients,arranged,honour,arrange,recipients honour,199
17,recipients,arranged,honour,arrange,recipients honour,199
18,recipients,arranged,honour,arrange,recipients honour,199
19,recipients,arranged,honour,arrange,recipients honour,199
20,recipients,arranged,honour,arrange,recipients honour,199
21,recipients,arranged,honour,arrange,recipients honour,199
22,recipients,arranged,honour,arrange,recipients honour,199
23,recipients,arranged,honour,arrange,recipients honour,199
24,recipients,arranged,honour,arrange,recipients honour,199
25,recipients,arranged,honour,arrange,recipients honour,199
26,recipients,arranged,honour,arrange,recipients honour,199
27,recipients,arranged,honour,arrange,recipients honour,199
28,recipients,arranged,honour,arrange,recipients honour,199
29,recipients,arranged,honour,arrange,recipients honour,199
30,recipients,arranged,honour,arrange,recipients honour,199
31,recipients,arranged,honour,arrange,recipients honour,199
32,recipients,arranged,honour,arrange,recipients honour,199
33,recipients,arranged,honour,arrange,recipients honour,199
34,recipients,arranged,honour,arrange,recipients honour,199
35,recipients,arranged,honour,arrange,recipients honour,199
36,recipients,arranged,honour,arrange,recipients honour,199
37,recipients,arranged,honour,arrange,recipients honour,199
38,recipients,arranged,honour,arrange,recipients honour,199
39,recipients,arranged,honour,arrange,recipients honour,199
40,recipients,arranged,honour,arrange,recipients honour,199
41,recipients,arranged,honour,arrange,recipients honour,199
42,recipients,arranged,honour,arrange,recipients honour,199
43,recipients,arranged,honour,arrange,recipients honour,199
44,recipients,arranged,honour,arrange,recipients honour,199
45,recipients,arranged,honour,arrange,recipients honour,199
46,recipients,arranged,honour,arrange,recipients honour,199
47,recipients,arranged,honour,arrange,recipients honour,199
48,recipients,arranged,honour,arrange,recipients honour,199
49,recipients,arranged,honour,arrange,recipients honour,199
50,recipients,arranged,honour,arrange,recipients honour,199
51,recipients,arranged,honour,arrange,recipients honour,199
52,recipients,arranged,honour,arrange,recipients honour,199
53,recipients,arranged,honour,arrange,recipients honour,199
54,recipients,arranged,honour,arrange,recipients honour,199
55,recipients,arranged,honour,arrange,recipients honour,199
56,recipients,arranged,honour,arrange,recipients honour,199
57,recipients,arranged,honour,arrange,recipients honour,199
58,recipients,arranged,honour,arrange,recipients honour,199
59,recipients,arranged,honour,arrange,recipients honour,199
60,recipients,arranged,honour,arrange,recipients honour,199
61,recipients,arranged,honour,arrange,recipients honour,199
62,recipients,arranged,honour,arrange,recipients honour,199
63,recipients,arranged,honour,arrange,recipients honour,199
64,recipients,arranged,honour,arrange,recipients honour,199
65,recipients,arranged,honour,arrange,recipients honour,199
66,recipients,arranged,honour,arrange,recipients honour,199
67,recipients,arranged,honour,arrange,recipients honour,199
68,recipients,arranged,honour,arrange,recipients honour,199
69,recipients,arranged,honour,arrange,recipients honour,199
70,recipients,arranged,honour,arrange,recipients honour,199
71,recipients,arranged,honour,arrange,recipients honour,199
72,recipients,arranged,honour,arrange,recipients honour,199
73,recipients,arranged,honour,arrange,recipients honour,199
74,recipients,arranged,honour,arrange,recipients honour,199
75,recipients,arranged,honour,arrange,recipients honour,199
76,recipients,arranged,honour,arrange,recipients honour,199
77,recipients,arranged,honour,arrange,recipients honour,199
78,recipients,arranged,honour,arrange,recipients honour,199
79,recipients,arranged,honour,arrange,recipients honour,199
80,recipients,arranged,honour,arrange,recipients honour,199
81,recipients,arranged,honour,arrange,recipients honour,199
82,recipients,arranged,honour,arrange,recipients honour,199
83,recipients,arranged,honour,arrange,recipients honour,199
84,recipients,arranged,honour,arrange,recipients honour,199
85,recipients,arranged,honour,arrange,recipients honour,199
86,recipients,arranged,honour,arrange,recipients honour,199
87,recipients,arranged,honour,arrange,recipients honour,199
88,recipients,arranged,honour,arrange,recipients honour,199
89,recipients,arranged,honour,arrange,recipients honour,199
90,recipients,arranged,honour,arrange,recipients honour,199
91,recipients,arranged,honour,arrange,recipients honour,199
92,recipients,arranged,honour,arrange,recipients honour,199
93,recipients,arranged,honour,arrange,recipients honour,199
94,recipients,arranged,honour,arrange,recipients honour,199
95,recipients,arranged,honour,arrange,recipients honour,199
96,recipients,arranged,honour,arrange,recipients honour,199
97,recipients,arranged,honour,arrange,recipients honour,199
98,recipients,arranged,honour,arrange,recipients honour,199
99,recipients,arranged,honour,arrange,recipients honour,199
100,recipients,arranged,honour,arrange,recipients honour,199
101,recipients,arranged,honour,arrange,recipients honour,199
102,recipients,arranged,honour,arrange,recipients honour,199
103,recipients,arranged,honour,arrange,recipients honour,199
104,recipients,arranged,honour,arrange,recipients honour,199
105,recipients,arranged,honour,arrange,recipients honour,199
106,recipients,arranged,honour,arrange,recipients honour,199
107,recipients,arranged,honour,arrange,recipients honour,199
108,recipients,arranged,honour,arrange,recipients honour,199
109,recipients,arranged,honour,arrange,recipients honour,199
110,recipients,arranged,honour,arrange,recipients honour,199
111,recipients,arranged,honour,arrange,recipients honour,199
112,recipients,arranged,honour,arrange,recipients honour,199
113,recipients,arranged,honour,arrange,recipients honour,199
114,recipients,arranged,honour,arrange,recipients honour,199
115,recipients,arranged,honour,arrange,recipients honour,199
116,recipients,arranged,honour,arrange,recipients honour,199
117,recipients,arranged,honour,arrange,recipients honour,199
118,recipients,arranged,honour,arrange,recipients honour,199
119,recipients,arranged,honour,arrange,recipients honour,199
120,recipients,arranged,honour,arrange,recipients honour,199
121,recipients,arranged,honour,arrange,recipients honour,199
122,recipients,arranged,honour,arrange,recipients honour,199
123,recipients,arranged,honour,arrange,recipients honour,199
124,recipients,arranged,honour,arrange,recipients honour,199
125,recipients,arranged,honour,arrange,recipients honour,199
126,recipients,arranged,honour,arrange,recipients honour,199
127,recipients,arranged,honour,arrange,recipients honour,199
128,recipients,arranged,honour,arrange,recipients honour,199
129,recipients,arranged,honour,arrange,recipients honour,199
130,recipients,arranged,honour,arrange,recipients honour,199
131,recipients,arranged,honour,arrange,recipients honour,199
132,recipients,arranged,honour,arrange,recipients honour,199
133,recipients,arranged,honour,arrange,recipients honour,199
134,recipients,arranged,honour,arrange,recipients honour,199
135,recipients,arranged,honour,arrange,recipients honour,199
136,recipients,arranged,honour,arrange,recipients honour,199
137,recipients,arranged,honour,arrange,recipients honour,199
138,recipients,arranged,honour,arrange,recipients honour,199
139,recipients,arranged,honour,arrange,recipients honour,199
140,recipients,arranged,honour,arrange,recipients honour,199
141,recipients,arranged,honour,arrange,recipients honour,199
142,recipients,arranged,honour,arrange,recipients honour,199
143,recipients,arranged,honour,arrange,recipients honour,199
144,recipients,arranged,honour,arrange,recipients honour,199
145,recipients,arranged,honour,arrange,recipients honour,199
146,recipients,arranged,honour,arrange,recipients honour,199
147,recipients,arranged,honour,arrange,recipients honour,199
148,recipients,arranged,honour,arrange,recipients honour,199
149,recipients,arranged,honour,arrange,recipients honour,199
150,recipients,arranged,honour,arrange,recipients honour,199
151,recipients,arranged,honour,arrange,recipients honour,199
152,recipients,arranged,honour,arrange,recipients honour,199
153,recipients,arranged,honour,arrange,recipients honour,199
154,recipients,arranged,honour,arrange,recipients honour,199
155,recipients,arranged,honour,arrange,recipients honour,199
156,recipients,arranged,honour,arrange,recipients honour,199
157,recipients,arranged,honour,arrange,recipients honour,199
158,recipients,arranged,honour,arrange,recipients honour,199
159,recipients,arranged,honour,arrange,recipients honour,199
160,recipients,arranged,honour,arrange,recipients honour,199
161,recipients,arranged,honour,arrange,recipients honour,199
162,recipients,arranged,honour,arrange,recipients honour,199
163,recipients,arranged,honour,arrange,recipients honour,199
164,recipients,arranged,honour,arrange,recipients honour,199
165,recipients,arranged,honour,arrange,recipients honour,199
166,recipients,arranged,honour,arrange,recipients honour,199
167,recipients,arranged,honour,arrange,recipients honour,199
168,recipients,arranged,honour,arrange,recipients honour,199
169,recipients,arranged,honour,arrange,recipients honour,199
170,recipients,arranged,honour,arrange,recipients honour,199
171,recipients,arranged,honour,arrange,recipients honour,199
172,recipients,arranged,honour,arrange,recipients honour,199
173,recipients,arranged,honour,arrange,recipients honour,199
174,recipients,arranged,honour,arrange,recipients honour,199
175,recipients,arranged,honour,arrange,recipients honour,199
176,recipients,arranged,honour,arrange,recipients honour,199
177,recipients,arranged,honour,arrange,recipients honour,199
178,recipients,arranged,honour,arrange,recipients honour,199
179,recipients,arranged,honour,arrange,recipients honour,199
180,recipients,arranged,honour,arrange,recipients honour,199
181,recipients,arranged,honour,arrange,recipients honour,199
182,recipients,arranged,honour,arrange,recipients honour,199
183,recipients,arranged,honour,arrange,recipients honour,199
184,recipients,arranged,honour,arrange,recipients honour,199
185,recipients,arranged,honour,arrange,recipients honour,199
186,recipients,arranged,honour,arrange,recipients honour,199
187,recipients,arranged,honour,arrange,recipients honour,199
188,recipients,arranged,honour,arrange,recipients honour,199
189,recipients,arranged,honour,arrange,recipients honour,199
190,recipients,arranged,honour,arrange,recipients honour,199
191,recipients,arranged,honour,arrange,recipients honour,199
192,recipients,arranged,honour,arrange,recipients honour,199
193,recipients,arranged,honour,arrange,recipients honour,199
194,recipients,arranged,honour,arrange,recipients honour,199
195,recipients,arranged,honour,arrange,recipients honour,199
196,recipients,arranged,honour,arrange,recipients honour,199
197,recipients,arranged,honour,arrange,recipients honour,199
198,recipients,arranged,honour,arrange,recipients honour,199
199,father,arranged,marriage,arrange,father marriage,77
200,father,arranged,marriage,arrange,father marriage,77
201,father,arranging,marriage,arrange,father marriage,77
202,father,arranged,marriage,arrange,father marriage,77
203,father,arranges,marriage,arrange,father marriage,77
204,father,arranged,marriage,arrange,father marriage,77
205,father,arranges,marriage,arrange,father marriage,77
206,father,arranges,marriage,arrange,father marriage,77
207,father,arranged,marriage,arrange,father marriage,77
208,father,arranges,marriage,arrange,father marriage,77
209,father,arranged,marriage,arrange,father marriage,77
210,father,arranged,marriage,arrange,father marriage,77
211,father,arranges,marriage,arrange,father marriage,77
212,father,arranged,marriage,arrange,father marriage,77
213,father,arranged,marriage,arrange,father marriage,77
214,father,arranges,marriage,arrange,father marriage,77
215,father,arranged,marriage,arrange,father marriage,77
216,father,arranged,marriage,arrange,father marriage,77
217,father,arranged,marriage,arrange,father marriage,77
218,father,arranges,marriage,arrange,father marriage,77
219,father,arranges,marriage,arrange,father marriage,77
220,father,arranged,marriage,arrange,father marriage,77
221,father,arranges,marriage,arrange,father marriage,77
222,father,arranges,marriage,arrange,father marriage,77
223,father,arranges,marriage,arrange,father marriage,77
224,father,arranged,marriage,arrange,father marriage,77
225,father,arranges,marriage,arrange,father marriage,77
226,father,arranges,marriage,arrange,father marriage,77
227,father,arranges,marriage,arrange,father marriage,77
228,father,arranges,marriage,arrange,father marriage,77
229,father,arranges,marriage,arrange,father marriage,77
230,father,arranges,marriage,arrange,father marriage,77
231,father,arranges,marriage,arrange,father marriage,77
